CID                                      InvCost              VarCost              ChargingRate        
C61_to_C86_dynamic_charger               2.0117               0.001                8.5106              
C89_to_C60_dynamic_charger               2.1727               0.001                2.1277              
Depot_to_C27_dynamic_charger             2.3004               0.001                2.1277              
C2_to_Depot_dynamic_charger              1.5576               0.001                8.5106              
C17_to_C84_dynamic_charger               2.2808               0.001                8.5106              
C6_to_C96_dynamic_charger                2.3592               0.001                2.1277              
C83_to_C45_dynamic_charger               1.9276               0.001                2.1277              
C39_to_C67_dynamic_charger               1.8533               0.001                8.5106              
C47_to_C49_dynamic_charger               1.9719               0.001                2.1277              
C24_to_C77_dynamic_charger               2.1505               0.001                2.1277              
C65_to_C71_dynamic_charger               1.6076               0.001                8.5106              
C67_to_C23_dynamic_charger               2.2939               0.001                2.1277              
C42_to_C15_dynamic_charger               2.2018               0.001                8.5106              
C94_to_Depot_dynamic_charger             1.9776               0.001                8.5106              
C2_to_Depot_dynamic_charger              1.5576               0.001                8.5106              
C35_to_C34_dynamic_charger               1.5031               0.001                2.1277              
C67_to_C23_dynamic_charger               2.2939               0.001                2.1277              
C8_to_Depot_dynamic_charger              1.5868               0.001                8.5106              
C64_to_C11_dynamic_charger               1.8502               0.001                2.1277              
C30_to_C32_dynamic_charger               2.0606               0.001                8.5106              
C70_to_C30_dynamic_charger               2.4813               0.001                2.1277              
Depot_to_C27_dynamic_charger             2.3004               0.001                2.1277              
C53_to_Depot_dynamic_charger             1.8156               0.001                2.1277              
C7_to_C52_dynamic_charger                1.5662               0.001                2.1277              
C17_to_C84_dynamic_charger               2.2808               0.001                8.5106              
C87_to_C13_dynamic_charger               1.9459               0.001                8.5106              
C2_to_Depot_dynamic_charger              1.5576               0.001                8.5106              
Depot_to_C18_dynamic_charger             2.3507               0.001                8.5106              
C86_to_C16_dynamic_charger               1.7025               0.001                8.5106              
C12_to_C26_dynamic_charger               1.9326               0.001                2.1277              
C6_to_C96_dynamic_charger                2.3592               0.001                2.1277              
C14_to_C43_dynamic_charger               2.2239               0.001                8.5106              
C25_to_C4_dynamic_charger                1.5749               0.001                2.1277              
C12_to_C26_dynamic_charger               1.9326               0.001                2.1277              
C30_to_C32_dynamic_charger               2.0606               0.001                8.5106              
C4_to_C72_dynamic_charger                1.8211               0.001                8.5106              
Depot_to_C6_dynamic_charger              2.4116               0.001                8.5106              
C29_to_C24_dynamic_charger               2.2919               0.001                2.1277              
C38_to_C14_dynamic_charger               1.5398               0.001                8.5106              
C50_to_C76_dynamic_charger               2.1789               0.001                8.5106              
C20_to_C66_dynamic_charger               2.1189               0.001                8.5106              
C63_to_C64_dynamic_charger               1.8886               0.001                8.5106              
C54_to_C55_dynamic_charger               1.5815               0.001                8.5106              
C10_to_C62_dynamic_charger               1.8857               0.001                8.5106              
C35_to_C34_dynamic_charger               1.5031               0.001                2.1277              
C89_to_C60_dynamic_charger               2.1727               0.001                2.1277              
C94_to_Depot_dynamic_charger             1.9776               0.001                8.5106              
C70_to_C30_dynamic_charger               2.4813               0.001                2.1277              
C88_to_C31_dynamic_charger               1.6355               0.001                8.5106              
C45_to_C17_dynamic_charger               2.3788               0.001                8.5106              
Depot_to_C89_dynamic_charger             2.2327               0.001                8.5106              
C51_to_C9_dynamic_charger                1.9741               0.001                8.5106              
C26_to_Depot_dynamic_charger             1.9091               0.001                8.5106              
C97_to_C87_dynamic_charger               2.1087               0.001                8.5106              
C47_to_C49_dynamic_charger               1.9719               0.001                2.1277              
C6_to_C96_dynamic_charger                2.3592               0.001                2.1277              
C9_to_C81_dynamic_charger                1.7836               0.001                2.1277              
C39_to_C67_dynamic_charger               1.8533               0.001                8.5106              
C26_to_Depot_dynamic_charger             1.9091               0.001                8.5106              
C36_to_C46_dynamic_charger               2.4246               0.001                8.5106              
C42_to_C15_dynamic_charger               2.2018               0.001                8.5106              
C80_to_C54_dynamic_charger               1.9934               0.001                2.1277              
C21_to_C40_dynamic_charger               2.055                0.001                8.5106              
C50_to_C76_dynamic_charger               2.1789               0.001                8.5106              
C23_to_C22_dynamic_charger               2.167                0.001                2.1277              
C65_to_C71_dynamic_charger               1.6076               0.001                8.5106              
C24_to_C77_dynamic_charger               2.1505               0.001                2.1277              
C65_to_C71_dynamic_charger               1.6076               0.001                8.5106              
C47_to_C49_dynamic_charger               1.9719               0.001                2.1277              
C28_to_Depot_dynamic_charger             2.1153               0.001                8.5106              
C89_to_C60_dynamic_charger               2.1727               0.001                2.1277              
C88_to_C31_dynamic_charger               1.6355               0.001                8.5106              
C13_to_Depot_dynamic_charger             2.4634               0.001                8.5106              
C42_to_C15_dynamic_charger               2.2018               0.001                8.5106              
Depot_to_C27_dynamic_charger             2.3004               0.001                2.1277              
C80_to_C54_dynamic_charger               1.9934               0.001                2.1277              
C14_to_C43_dynamic_charger               2.2239               0.001                8.5106              
C64_to_C11_dynamic_charger               1.8502               0.001                2.1277              
C54_to_C55_dynamic_charger               1.5815               0.001                8.5106              
C66_to_C65_dynamic_charger               1.6071               0.001                8.5106              
C41_to_C2_dynamic_charger                1.6515               0.001                2.1277              
C83_to_C45_dynamic_charger               1.9276               0.001                2.1277              
C63_to_C64_dynamic_charger               1.8886               0.001                8.5106              
C38_to_C14_dynamic_charger               1.5398               0.001                8.5106              
C17_to_C84_dynamic_charger               2.2808               0.001                8.5106              
C38_to_C14_dynamic_charger               1.5398               0.001                8.5106              
Depot_to_C18_dynamic_charger             2.3507               0.001                8.5106              
C76_to_C28_dynamic_charger               1.7317               0.001                8.5106              
Depot_to_C89_dynamic_charger             2.2327               0.001                8.5106              
C23_to_C22_dynamic_charger               2.167                0.001                2.1277              
C4_to_C72_dynamic_charger                1.8211               0.001                8.5106              
C20_to_C66_dynamic_charger               2.1189               0.001                8.5106              
C26_to_Depot_dynamic_charger             1.9091               0.001                8.5106              
C45_to_C17_dynamic_charger               2.3788               0.001                8.5106              
C46_to_C8_dynamic_charger                2.0028               0.001                2.1277              
C28_to_Depot_dynamic_charger             2.1153               0.001                8.5106              
C67_to_C23_dynamic_charger               2.2939               0.001                2.1277              
C61_to_C86_dynamic_charger               2.0117               0.001                8.5106              
C57_to_Depot_dynamic_charger             2.1583               0.001                2.1277              
C51_to_C9_dynamic_charger                1.9741               0.001                8.5106              
C8_to_Depot_dynamic_charger              1.5868               0.001                8.5106              
C10_to_C62_dynamic_charger               1.8857               0.001                8.5106              
Depot_to_C6_dynamic_charger              2.4116               0.001                8.5106              
C36_to_C46_dynamic_charger               2.4246               0.001                8.5106              
C39_to_C67_dynamic_charger               1.8533               0.001                8.5106              
C50_to_C76_dynamic_charger               2.1789               0.001                8.5106              
C4_to_C72_dynamic_charger                1.8211               0.001                8.5106              
C64_to_C11_dynamic_charger               1.8502               0.001                2.1277              
